.	Basic Statistics	Per Base Sequence Quality	Per Tile Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
ERR1756131_2	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR1756135_1	1	1	1	1	0.25	0.5	1	0.5	0.25	0.25	1
ERR1756135_2	1	1	1	1	0.25	1	0.25	0.5	0.25	0.25	1
ERR1756136_1	1	1	1	1	0.25	0.5	1	0.5	0.25	0.25	1
ERR1756136_2	1	1	1	1	0.25	1	0.25	0.5	0.25	0.25	1
ERR1756138_1	1	1	1	1	0.25	1	1	0.5	0.25	0.25	1
ERR1756138_2	1	0.25	1	1	0.25	1	0.25	0.5	0.25	0.25	1
ERR1756139_1	1	1	1	1	0.25	0.5	1	0.5	0.25	0.25	1
ERR1756139_2	1	1	1	1	0.25	0.5	1	0.5	0.25	0.25	1
ERR1756149_1	1	1	1	1	0.25	0.5	1	0.5	0.25	0.25	1
ERR1756149_2	1	0.25	1	1	0.25	1	0.25	0.5	0.25	0.25	1
ERR1756161_1	1	1	1	1	0.25	0.5	1	0.5	0.25	0.25	1
ERR1756161_2	1	0.25	1	1	0.25	0.5	0.25	0.5	0.25	0.25	1
ERR1756162_1	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR1756162_2	1	1	1	1	0.25	1	0.25	0.5	0.25	0.25	1
ERR1756165_1	1	1	1	1	0.25	0.5	1	0.5	0.25	0.25	1
ERR1756165_2	1	0.25	1	1	0.25	1	0.25	0.5	0.25	0.25	1
ERR1756169_1	1	1	1	1	0.25	1	1	0.5	0.25	0.25	1
ERR1756169_2	1	1	1	1	0.25	1	0.5	0.5	0.25	0.25	1
ERR1756171_1	1	1	1	1	0.25	0.5	1	0.5	0.25	0.25	1
ERR1756171_2	1	1	1	1	0.25	1	0.5	0.5	0.25	0.25	1
ERR1756182_1	1	1	0.5	1	0.25	1	1	0.5	0.25	0.25	1
ERR1756182_2	1	1	0.25	1	0.25	1	0.25	0.5	0.25	0.25	1
ERR1756183_1	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR1756183_2	1	1	1	1	0.25	0.5	1	0.5	0.25	0.25	1
ERR1756186_1	1	1	1	1	0.25	0.5	1	0.5	0.25	0.25	1
ERR1756186_2	1	1	1	1	0.25	1	0.5	0.5	0.25	0.25	1
ERR1756192_1	1	1	1	1	0.25	0.5	1	0.5	0.25	0.25	1
ERR1756192_2	1	0.25	1	1	0.25	1	0.25	0.5	0.25	0.25	1
ERR1756203_1	1	1	1	1	0.25	0.5	1	0.5	0.25	0.25	1
ERR1756203_2	1	0.25	1	1	0.25	1	0.25	0.5	0.25	0.25	1
ERR1756219_1	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR1756219_2	1	1	1	1	0.25	1	0.25	0.5	0.25	0.25	1
ERR1756220_1	1	1	0.5	1	0.25	0.5	1	0.5	0.25	0.25	1
ERR1756220_2	1	1	0.25	1	0.25	0.5	0.25	0.5	0.25	0.25	1
ERR1756221_1	1	1	1	1	0.25	0.5	1	0.5	0.25	0.25	1
ERR1756221_2	1	1	0.25	1	0.25	0.5	1	0.5	0.25	0.25	1
ERR1756224_1	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR1756224_2	1	0.25	1	1	0.25	1	0.25	0.5	0.25	0.25	1
ERR1756228_1	1	1	1	1	0.25	1	1	0.5	0.25	0.25	1
ERR1756228_2	1	0.25	1	1	0.25	1	0.25	0.5	0.25	0.25	1
ERR1756232_1	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR1756232_2	1	0.25	1	1	0.25	1	0.25	0.5	0.25	0.25	1
ERR1756234_1	1	1	1	1	0.25	1	1	0.5	0.25	0.25	1
ERR1756234_2	1	1	1	1	0.25	1	1	0.5	0.25	0.25	1
ERR1756237_1	1	1	1	1	0.25	0.5	1	0.5	0.25	0.25	1
ERR1756237_2	1	1	1	1	0.25	1	0.5	0.5	0.25	0.25	1
ERR1756243_1	1	1	1	1	0.25	0.5	1	0.5	0.25	0.25	1
ERR1756243_2	1	0.25	1	1	0.25	1	0.25	0.5	0.25	0.25	1
ERR1756246_1	1	1	1	1	0.25	0.5	1	0.5	0.25	0.25	1
ERR1756246_2	1	1	1	1	0.25	1	1	0.5	0.25	0.25	1
ERR1756249_1	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR1756249_2	1	0.25	1	1	0.25	1	0.25	0.5	0.25	0.25	1
ERR1756250_1	1	1	1	1	0.25	0.5	1	0.5	0.25	0.25	1
ERR1756250_2	1	1	1	1	0.25	0.5	0.5	0.5	0.25	0.25	1
ERR1756254_1	1	1	1	1	0.25	0.5	1	0.5	0.25	0.25	1
ERR1756254_2	1	0.25	1	1	0.25	0.5	0.25	0.5	0.25	0.25	1
ERR1756258_1	1	1	1	1	0.25	1	1	0.5	0.25	0.25	1
ERR1756258_2	1	1	1	1	0.25	1	0.25	0.5	0.25	0.25	1
ERR1756259_1	1	1	1	1	0.25	1	1	0.5	0.25	0.25	1
ERR1756259_2	1	0.25	1	1	0.25	1	0.25	0.5	0.25	0.25	1
ERR1756270_1	1	1	1	1	0.25	1	1	0.5	0.25	0.25	1
ERR1756270_2	1	1	1	1	0.25	1	0.5	0.5	0.25	0.25	1
ERR1756280_1	1	1	1	1	0.25	1	1	0.5	0.25	0.25	1
ERR1756280_2	1	1	1	1	0.25	1	0.5	0.5	0.25	0.25	1
ERR1756293_1	1	1	1	1	0.25	0.25	0.5	0.5	0.25	0.25	1
ERR1756293_2	1	0.25	1	1	0.25	1	0.25	0.5	0.25	0.25	1
ERR1756296_1	1	1	1	1	0.25	1	1	0.5	0.25	0.25	1
ERR1756296_2	1	0.25	1	1	0.25	1	0.25	0.5	0.25	0.25	1
ERR1756297_1	1	1	1	1	0.25	0.5	1	0.5	0.25	0.25	1
ERR1756297_2	1	1	1	1	0.25	1	0.5	0.5	0.25	0.25	1
ERR1756300_1	1	1	1	1	0.25	0.5	1	0.5	0.25	0.25	1
ERR1756300_2	1	0.25	1	1	0.25	1	0.25	0.5	0.25	0.25	1
ERR1756304_1	1	1	1	1	0.25	0.5	1	0.5	0.25	0.25	1
ERR1756304_2	1	1	1	1	0.25	0.5	1	0.5	0.25	0.25	1
ERR1756317_1	1	1	1	1	0.25	0.5	1	0.5	0.25	0.25	1
ERR1756317_2	1	0.25	1	1	0.25	1	0.25	0.5	0.25	0.25	1
ERR1756327_1	1	1	1	1	0.25	0.5	1	0.5	0.25	0.25	1
ERR1756327_2	1	1	1	1	0.25	0.5	0.5	0.5	0.25	0.25	1
ERR1756353_1	1	1	1	1	0.25	0.5	1	0.5	0.25	0.25	1
ERR1756353_2	1	1	1	1	0.25	1	0.5	0.5	0.25	0.25	1
ERR1756365_1	1	1	1	1	0.25	0.5	1	0.5	0.25	0.25	1
ERR1756365_2	1	1	1	1	0.25	0.5	1	0.5	0.25	0.25	1
ERR1879918_1	1	1	1	1	0.25	0.5	1	0.5	0.25	0.25	1
ERR1879918_2	1	1	1	1	0.25	0.25	0.5	0.5	0.25	0.25	1
ERR562364_1	1	0.25	0.25	1	0.25	0.25	1	1	0.25	0.25	1
ERR562364_2	1	0.25	0.25	1	0.25	0.25	1	1	0.25	0.25	1
ERR562378_1	1	0.25	0.25	1	0.25	0.5	1	1	0.25	0.25	1
ERR562378_2	1	0.25	0.25	1	0.25	0.5	0.25	1	0.25	0.25	1
ERR562385_1	1	0.25	0.5	1	0.25	0.25	1	1	0.25	0.25	0.5
ERR562385_2	1	0.25	0.25	0.5	0.25	0.25	0.5	1	0.25	0.25	1
ERR562386_1	1	0.25	0.5	1	0.25	0.5	1	1	0.25	0.25	1
ERR562386_2	1	0.25	0.25	1	0.25	0.5	1	1	0.25	0.25	1
ERR562391_1	1	0.25	0.25	1	0.25	0.25	1	1	0.25	0.25	1
ERR562391_2	1	0.25	0.25	1	0.25	0.25	0.25	1	0.25	0.25	1
ERR562413_1	1	0.25	0.25	1	0.25	0.25	1	1	0.25	0.25	1
ERR562413_2	1	0.25	0.25	1	0.25	0.25	0.25	1	0.25	0.25	1
ERR562431_1	1	0.25	1	1	0.25	0.5	1	1	0.25	0.25	1
ERR562431_2	1	0.25	0.25	1	0.25	0.5	1	1	0.25	0.25	1
ERR562434_1	1	0.25	0.25	1	0.25	0.25	1	1	0.25	0.25	1
ERR562434_2	1	0.25	0.25	1	0.25	0.5	0.25	1	0.25	0.25	1
ERR562441_1	1	0.25	0.25	1	0.25	0.25	0.5	1	0.25	0.25	0.25
ERR562441_2	1	0.25	0.5	1	0.25	0.25	1	1	0.25	0.25	0.25
ERR562451_1	1	1	1	1	0.25	0.5	1	0.5	0.25	0.25	1
ERR562451_2	1	1	1	1	0.25	1	1	0.5	0.25	0.25	1
ERR562452_1	1	0.25	0.25	1	0.25	0.5	1	1	0.25	0.25	0.25
ERR562452_2	1	0.25	0.25	1	0.25	0.5	0.5	1	0.25	0.25	0.25
ERR562457_1	1	0.25	0.25	1	0.25	0.25	1	1	0.25	0.25	1
ERR562457_2	1	0.25	0.25	1	0.25	0.5	1	1	0.25	0.25	1
ERR562470_1	1	0.25	0.25	0.25	0.25	0.5	1	1	0.25	0.25	1
ERR562470_2	1	0.25	0.25	1	0.25	1	1	1	0.25	0.25	1
ERR562471_1	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR562471_2	1	0.25	1	1	0.25	1	0.25	0.5	0.25	0.25	1
ERR562498_1	1	0.25	0.5	1	0.25	0.5	1	1	0.25	0.25	1
ERR562498_2	1	0.25	0.5	1	0.25	0.25	1	1	0.25	0.25	1
ERR562500_1	1	0.25	0.25	1	0.25	0.5	1	1	0.25	0.25	0.5
ERR562500_2	1	0.25	0.25	1	0.25	0.5	1	1	0.25	0.25	1
ERR562516_1	1	0.25	1	1	0.25	0.25	1	1	0.25	0.25	1
ERR562516_2	1	0.25	0.25	1	0.25	0.25	1	1	0.25	0.25	1
ERR562517_1	1	0.25	1	1	0.25	1	1	1	0.25	0.25	1
ERR562517_2	1	0.25	1	1	0.25	0.5	1	1	0.25	0.25	1
ERR562530_1	1	0.25	0.25	1	0.25	0.25	1	1	0.25	0.25	1
ERR562530_2	1	0.25	0.25	1	0.25	0.25	1	1	0.25	0.25	1
ERR562532_1	1	0.25	1	1	0.25	1	1	1	0.25	0.25	0.5
ERR562532_2	1	0.25	0.5	1	0.25	0.5	1	1	0.25	0.25	0.5
ERR562542_1	1	0.25	0.25	1	0.25	0.25	1	1	0.25	0.25	1
ERR562542_2	1	0.25	0.25	1	0.25	0.25	1	1	0.25	0.25	1
ERR562549_1	1	0.25	0.5	1	0.25	0.5	1	1	0.25	0.25	1
ERR562549_2	1	0.25	0.25	1	0.25	0.5	1	1	0.25	0.25	1
ERR562551_1	1	0.25	0.25	1	0.25	1	1	1	0.25	0.25	1
ERR562551_2	1	0.25	0.25	1	0.25	0.5	0.25	1	0.25	0.25	1
ERR562561_1	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR562561_2	1	1	1	1	0.25	1	0.5	0.5	0.25	0.25	1
ERR562566_1	1	0.25	1	1	0.25	1	1	1	0.25	0.25	1
ERR562566_2	1	0.25	0.25	1	0.25	0.5	0.5	1	0.25	0.25	1
ERR562585_1	1	0.25	0.25	1	0.25	0.5	1	1	0.25	0.25	1
ERR562585_2	1	0.25	0.25	1	0.25	0.25	1	1	0.25	0.25	1
ERR562588_1	1	0.25	0.25	1	0.25	0.5	1	1	0.25	0.25	1
ERR562588_2	1	0.25	0.25	1	0.25	0.5	0.5	1	0.25	0.25	1
ERR562590_1	1	0.25	0.25	1	0.25	0.25	1	1	0.25	0.25	1
ERR562590_2	1	0.25	0.25	1	0.25	0.25	1	1	0.25	0.25	1
ERR562602_1	1	1	1	1	0.25	0.5	1	0.5	0.25	0.25	1
ERR562602_2	1	1	1	1	0.25	0.5	1	0.5	0.25	0.25	1
ERR562611_1	1	0.25	0.25	1	0.25	0.25	1	1	0.25	0.25	1
ERR562611_2	1	0.25	0.25	1	0.25	0.5	0.5	1	0.25	0.25	1
ERR562614_1	1	0.25	0.25	1	0.25	1	0.5	1	0.25	0.25	0.5
