Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
ERR1755922_1	(32, 27417.0)	(37, 17112.0)	(42, 10129.0)	(47, 7024.0)	(52, 13963.0)	(57, 12503.0)	(62, 11237.0)	(67, 4629.0)	(72, 6082.0)	(77, 9621.0)	(82, 10489.0)	(87, 11340.0)	(92, 13351.0)	(97, 11052.0)	(102, 14247.0)	(107, 24422.0)	(112, 35382.0)	(117, 40600.0)	(122, 31713.0)	(127, 35897.0)	(132, 48865.0)	(137, 54051.0)	(142, 30308.0)	(147, 25458.0)	(151, 76916.0)
ERR1755922_2	(32, 19797.0)	(37, 9146.0)	(42, 4554.0)	(47, 6698.0)	(52, 8879.0)	(57, 11111.0)	(62, 11475.0)	(67, 7997.0)	(72, 7107.0)	(77, 14373.0)	(82, 13541.0)	(87, 12120.0)	(92, 11727.0)	(97, 12809.0)	(102, 15046.0)	(107, 21106.0)	(112, 23525.0)	(117, 25266.0)	(122, 28751.0)	(127, 31788.0)	(132, 50323.0)	(137, 52169.0)	(142, 42544.0)	(147, 38199.0)	(151, 103757.0)
ERR1755935_1	(32, 30603.0)	(37, 20733.0)	(42, 19256.0)	(47, 13726.0)	(52, 14104.0)	(57, 13592.0)	(62, 12679.0)	(67, 10218.0)	(72, 9177.0)	(77, 16517.0)	(82, 16554.0)	(87, 15929.0)	(92, 14175.0)	(97, 15985.0)	(102, 20705.0)	(107, 23889.0)	(112, 30220.0)	(117, 40777.0)	(122, 37511.0)	(127, 38631.0)	(132, 104842.0)	(137, 68417.0)	(142, 62272.0)	(147, 50571.0)	(151, 203195.0)
ERR1755935_2	(32, 21821.0)	(37, 14056.0)	(42, 9438.0)	(47, 14958.0)	(52, 12652.0)	(57, 15329.0)	(62, 12598.0)	(67, 10777.0)	(72, 8515.0)	(77, 18560.0)	(82, 15860.0)	(87, 13747.0)	(92, 13362.0)	(97, 13154.0)	(102, 17847.0)	(107, 20692.0)	(112, 23233.0)	(117, 29431.0)	(122, 33100.0)	(127, 40317.0)	(132, 110036.0)	(137, 80174.0)	(142, 78870.0)	(147, 58456.0)	(151, 217295.0)
ERR1755937_1	(32, 41665.0)	(37, 23011.0)	(42, 24610.0)	(47, 16529.0)	(52, 20960.0)	(57, 20716.0)	(62, 20058.0)	(67, 13296.0)	(72, 11543.0)	(77, 20555.0)	(82, 20211.0)	(87, 21086.0)	(92, 24548.0)	(97, 26486.0)	(102, 28575.0)	(107, 43479.0)	(112, 61221.0)	(117, 74682.0)	(122, 55766.0)	(127, 66213.0)	(132, 82422.0)	(137, 95640.0)	(142, 57295.0)	(147, 41066.0)	(151, 120026.0)
ERR1755937_2	(32, 22941.0)	(37, 14792.0)	(42, 14989.0)	(47, 18985.0)	(52, 19365.0)	(57, 26519.0)	(62, 24359.0)	(67, 18689.0)	(72, 11293.0)	(77, 29114.0)	(82, 25484.0)	(87, 22393.0)	(92, 24121.0)	(97, 30207.0)	(102, 33158.0)	(107, 47868.0)	(112, 61535.0)	(117, 59662.0)	(122, 75742.0)	(127, 67149.0)	(132, 73355.0)	(137, 100044.0)	(142, 64169.0)	(147, 40493.0)	(151, 105233.0)
ERR1755940_1	(32, 39836.0)	(37, 22191.0)	(42, 20344.0)	(47, 15430.0)	(52, 23918.0)	(57, 24243.0)	(62, 18679.0)	(67, 11508.0)	(72, 12181.0)	(77, 20252.0)	(82, 19581.0)	(87, 20673.0)	(92, 21927.0)	(97, 20368.0)	(102, 23665.0)	(107, 36039.0)	(112, 50045.0)	(117, 53489.0)	(122, 42737.0)	(127, 50566.0)	(132, 65126.0)	(137, 74293.0)	(142, 61627.0)	(147, 46256.0)	(151, 207536.0)
ERR1755940_2	(32, 20500.0)	(37, 13689.0)	(42, 10314.0)	(47, 19955.0)	(52, 18612.0)	(57, 25140.0)	(62, 18770.0)	(67, 15200.0)	(72, 13715.0)	(77, 28785.0)	(82, 19404.0)	(87, 18912.0)	(92, 18744.0)	(97, 19518.0)	(102, 20793.0)	(107, 26664.0)	(112, 35880.0)	(117, 39373.0)	(122, 45105.0)	(127, 54190.0)	(132, 72341.0)	(137, 85600.0)	(142, 77623.0)	(147, 66745.0)	(151, 216938.0)
ERR1755943_1	(32, 52047.0)	(37, 30284.0)	(42, 28567.0)	(47, 21477.0)	(52, 29270.0)	(57, 27417.0)	(62, 22598.0)	(67, 14381.0)	(72, 16116.0)	(77, 22721.0)	(82, 21190.0)	(87, 22325.0)	(92, 24997.0)	(97, 23716.0)	(102, 30434.0)	(107, 42305.0)	(112, 57095.0)	(117, 78762.0)	(122, 64613.0)	(127, 71574.0)	(132, 135221.0)	(137, 107859.0)	(142, 111506.0)	(147, 86971.0)	(151, 434476.0)
ERR1755943_2	(32, 23881.0)	(37, 15501.0)	(42, 11960.0)	(47, 14264.0)	(52, 18057.0)	(57, 24146.0)	(62, 23159.0)	(67, 23685.0)	(72, 21206.0)	(77, 30028.0)	(82, 24290.0)	(87, 23037.0)	(92, 21497.0)	(97, 24955.0)	(102, 30027.0)	(107, 33919.0)	(112, 40931.0)	(117, 51413.0)	(122, 60893.0)	(127, 64034.0)	(132, 132089.0)	(137, 95586.0)	(142, 138591.0)	(147, 99284.0)	(151, 531489.0)
