Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
ERR1755943_1	(1.0, 19.392225130801485)	(2.0, 3.168221284531663)	(3.0, 1.6889883841925482)	(4.0, 1.194996239191919)	(5.0, 0.9696349592882834)	(6.0, 0.8114397607819247)	(7.0, 0.6391118146447374)	(8.0, 0.575741228632206)	(9.0, 0.5154182528388481)	('>10', 8.507447613673323)	('>50', 3.898199983920608)	('>100', 11.294103494645274)	('>500', 5.50290016629981)	('>1k', 11.433311073897984)	('>5k', 5.031184232703926)	('>10k+', 25.37707637995546)
ERR1755943_2	(1.0, 17.469768021893326)	(2.0, 2.8796498115581657)	(3.0, 1.5820335421600724)	(4.0, 1.1034961249292703)	(5.0, 0.8347355696988049)	(6.0, 0.7008533352607802)	(7.0, 0.5751463146673346)	(8.0, 0.5311656040666158)	(9.0, 0.4510893551871096)	('>10', 7.608055604265797)	('>50', 4.008467961604838)	('>100', 10.7288853687478)	('>500', 6.198759974528301)	('>1k', 16.507011984820195)	('>5k', 4.280074724040571)	('>10k+', 24.54080670257101)
ERR1755944_1	(1.0, 21.560782614955784)	(2.0, 3.7559711433917538)	(3.0, 2.060970784290887)	(4.0, 1.5115644327381728)	(5.0, 1.0926724472677352)	(6.0, 0.8957597447565885)	(7.0, 0.7063117067850802)	(8.0, 0.6280614302316311)	(9.0, 0.632437268065212)	('>10', 9.786947418142244)	('>50', 4.921015747200132)	('>100', 11.988766055110018)	('>500', 5.16657747033168)	('>1k', 10.433541808610219)	('>5k', 3.1480292179232983)	('>10k+', 21.710590710199558)
ERR1755944_2	(1.0, 21.811540670178193)	(2.0, 3.8787571331025767)	(3.0, 2.1386114580767277)	(4.0, 1.479232855977345)	(5.0, 1.1785637408674328)	(6.0, 0.9062554427998847)	(7.0, 0.7499864823632263)	(8.0, 0.7149696918974869)	(9.0, 0.6514690942618548)	('>10', 9.80496264973889)	('>50', 4.591119340989381)	('>100', 15.718619129139523)	('>500', 6.842908023401898)	('>1k', 9.816460700339581)	('>5k', 1.8838510631904177)	('>10k+', 17.832692523675586)
ERR1755946_1	(1.0, 15.918918027173978)	(2.0, 2.7957172429133266)	(3.0, 1.543307760139303)	(4.0, 1.0808284333956861)	(5.0, 0.8656490124345606)	(6.0, 0.6963519987775696)	(7.0, 0.6008139780454846)	(8.0, 0.5149214092100524)	(9.0, 0.4858150029188577)	('>10', 8.209414643667914)	('>50', 4.021045232613278)	('>100', 10.641719520344447)	('>500', 4.311881095880951)	('>1k', 10.47546759272841)	('>5k', 1.640425159453452)	('>10k+', 36.19772389030272)
ERR1755946_2	(1.0, 15.824492853713009)	(2.0, 2.4742773679666588)	(3.0, 1.4045610345624768)	(4.0, 0.9958532855743067)	(5.0, 0.754354791575564)	(6.0, 0.6264077556683074)	(7.0, 0.5674667755156606)	(8.0, 0.4687172165748124)	(9.0, 0.42748461651370984)	('>10', 7.047209827334205)	('>50', 3.2253185181012602)	('>100', 9.182675466798369)	('>500', 4.317283982080722)	('>1k', 10.393711411359797)	('>5k', 4.191630878709412)	('>10k+', 38.09855421795173)
ERR1755949_1	(1.0, 22.460218351176366)	(2.0, 3.501067171782056)	(3.0, 1.9285112748550843)	(4.0, 1.3650740260055156)	(5.0, 1.0879350775725865)	(6.0, 0.8771355326831929)	(7.0, 0.749710191459214)	(8.0, 0.670593629391073)	(9.0, 0.617433797443696)	('>10', 9.71762876183264)	('>50', 4.7883878993668745)	('>100', 12.069380316526274)	('>500', 4.95122643889526)	('>1k', 9.974965927976163)	('>5k', 4.433023421714939)	('>10k+', 20.80770818131907)
ERR1755949_2	(1.0, 24.875240442581433)	(2.0, 3.569336999585683)	(3.0, 1.8692704274640717)	(4.0, 1.3012051445420056)	(5.0, 0.9778068024942337)	(6.0, 0.7932369464474197)	(7.0, 0.6753488213640364)	(8.0, 0.6010703143767688)	(9.0, 0.5314145169243589)	('>10', 8.926377897980604)	('>50', 4.295082534536901)	('>100', 11.622162976088859)	('>500', 5.999682959945562)	('>1k', 11.594281680965498)	('>5k', 3.660132506927568)	('>10k+', 18.708349027774982)
ERR1755954_1	(1.0, 27.47568887210597)	(2.0, 3.599567602011434)	(3.0, 1.9182791739342433)	(4.0, 1.2896178642729317)	(5.0, 1.0030278671206336)	(6.0, 0.8047768852157091)	(7.0, 0.6462193015428916)	(8.0, 0.6833711492392823)	(9.0, 0.5726128009114592)	('>10', 9.30370669964821)	('>50', 4.328551811347611)	('>100', 11.231199514472674)	('>500', 4.8851239567152644)	('>1k', 7.869911364094046)	('>5k', 4.076478664324921)	('>10k+', 20.311866473042723)
ERR1755954_2	(1.0, 29.805158356975546)	(2.0, 3.760488806900627)	(3.0, 1.9292423406774741)	(4.0, 1.2315684565538945)	(5.0, 0.9628200863429951)	(6.0, 0.8206251773774431)	(7.0, 0.6960101795886818)	(8.0, 0.6081491938737378)	(9.0, 0.565946145691751)	('>10', 9.129350397447755)	('>50', 3.784777209544225)	('>100', 11.209898961441752)	('>500', 5.948327792173859)	('>1k', 11.03794258523942)	('>5k', 2.048378557543069)	('>10k+', 16.461315752627765)
