Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
ERR1756073_2	4.134890928134929	31.921414344472055
ERR1756075_1	8.673433583508924	24.44016388870395
ERR1756075_2	4.533930251932998	34.146089109534444
ERR1756080_1	7.184348267775946	41.6600829145524
ERR1756080_2	6.734160306897871	41.408999464661356
ERR1756084_1	12.011855557628635	25.88426521790003
ERR1756084_2	8.427043573680598	34.228772100701086
ERR1756086_1	8.334547341460945	33.7158499513703
ERR1756086_2	4.456519778620415	42.87689402610881
ERR1756092_1	10.026260799172668	21.474787889820842
ERR1756092_2	4.938521455034191	29.563540095166346
ERR1756105_1	9.336220749643546	49.51192882988738
ERR1756105_2	10.909593514460783	52.35355303434859
ERR1756107_1	11.702085684298577	30.400052082922326
ERR1756107_2	4.929530227823328	31.740990049005298
ERR1756111_1	10.256927252251995	27.9562328945243
ERR1756111_2	4.418754646904031	32.11012117178166
ERR1756115_1	17.126917893147876	55.53998598307186
ERR1756115_2	16.067755674160335	55.71422718205832
ERR1756118_1	7.433269164740966	38.06804957055909
ERR1756118_2	7.468504023074975	42.25353923864415
ERR1756127_1	10.136571223037267	24.104209280836315
ERR1756127_2	4.710538521998298	27.85340846748849
ERR1756130_1	10.98032852095206	38.28926989998757
ERR1756130_2	8.118030310319252	41.24627439548455
ERR1756135_1	8.948042245501789	23.806812509530687
ERR1756135_2	4.097840002896232	31.661088127750183
ERR1756136_1	11.523618007176866	29.056267647377517
ERR1756136_2	4.99799226224242	34.19990056917772
ERR1756139_1	8.897455163499822	34.368128973601905
ERR1756139_2	7.425519001317259	40.66836398279996
ERR1756149_1	9.188174455913776	24.819810164314376
ERR1756149_2	4.957397496098119	34.680682175942984
ERR1756161_1	8.344774102295878	31.421887787152137
ERR1756161_2	4.401827487044585	39.767331592997046
ERR1756162_1	11.725469157038324	26.582081049540108
ERR1756162_2	6.622124632887728	30.59960288269553
ERR1756165_1	8.55845728748903	28.44539369193615
ERR1756165_2	4.1280178697049035	38.474016162993365
ERR1756169_1	10.88036008519873	40.337526289702474
ERR1756169_2	8.768503261932512	41.250063631127006
ERR1756171_1	10.027564927155941	25.764873308175886
ERR1756171_2	5.462983935416871	30.9507549371135
ERR1756182_1	16.29290776856441	52.940967557635
ERR1756182_2	10.772841679405815	44.11868254041784
ERR1756183_1	9.703067963823967	32.431193649288254
ERR1756183_2	8.279774666888128	38.49263153623879
ERR1756186_1	10.546664542980409	30.673254710774707
ERR1756186_2	7.538209039978394	40.64666246546125
