Sample	FastQC_mqc_generalstats_fastqc_percent_duplicates	FastQC_mqc_generalstats_fastqc_percent_gc	FastQC_mqc_generalstats_fastqc_avg_sequence_length	FastQC_mqc_generalstats_fastqc_median_sequence_length	FastQC_mqc_generalstats_fastqc_percent_fails	FastQC_mqc_generalstats_fastqc_total_sequences
ERR1755988_2	74.19396052178601	50.0	109.1083272819276	122	45.45454545454545	0.6086739999999999
ERR1755991_1	70.96505923018817	49.0	113.3850772422665	127	27.27272727272727	1.240642
ERR1755991_2	72.84011144253377	49.0	121.00374967154103	137	45.45454545454545	1.240642
ERR1756002_1	69.89816049816307	48.0	115.27420633051902	127	36.36363636363637	0.7432249999999999
ERR1756002_2	74.8277319259812	49.0	121.46306703891823	137	45.45454545454545	0.7432249999999999
ERR1756003_1	95.91397518802277	50.0	121.75141851760736	127	36.36363636363637	2.2763199999999997
ERR1756003_2	92.83686650929187	50.0	115.66287384901948	122	36.36363636363637	2.2763199999999997
ERR1756007_1	73.59779350854149	49.0	116.43569127999507	132	36.36363636363637	1.0065819999999999
ERR1756007_2	75.60595162478548	49.0	119.97478993266321	137	36.36363636363637	1.0065819999999999
ERR1756017_1	75.81947904134972	49.0	118.80831563669466	132	36.36363636363637	1.326994
ERR1756017_2	76.85853850085591	50.0	117.32227877443304	127	27.27272727272727	1.326994
ERR1756023_1	81.67169432161154	49.0	111.1569819559494	117	27.27272727272727	3.1146
ERR1756023_2	80.63562452702709	50.0	116.4285131317023	127	27.27272727272727	3.1146
ERR1756032_1	95.16397675854702	49.0	135.99949516847425	151	27.27272727272727	1.978878
ERR1756032_2	95.33387101175515	49.0	136.36755575634274	151	27.27272727272727	1.978878
ERR1756035_1	73.90101258801337	49.0	112.74573959864775	122	27.27272727272727	0.910771
ERR1756035_2	74.89529694333301	50.0	112.12875135462153	122	45.45454545454545	0.910771
ERR1756057_1	63.94881331916401	48.0	122.78445802337939	142	27.27272727272727	0.22583999999999999
ERR1756057_2	64.6068012752391	49.0	124.02392401700318	142	45.45454545454545	0.22583999999999999
ERR1756062_1	66.6948290447985	49.0	117.51624150028152	132	27.27272727272727	0.46177999999999997
ERR1756062_2	71.14896647446213	50.0	117.96498765645978	132	45.45454545454545	0.46177999999999997
ERR1756071_1	77.73478645475913	49.0	120.27143287802004	132	27.27272727272727	0.875734
ERR1756071_2	80.5783339163327	50.0	119.68197420677969	137	45.45454545454545	0.875734
ERR1756073_1	69.1938690053372	49.0	115.7889856047866	127	27.27272727272727	1.1351689999999999
ERR1756073_2	72.24328713115935	49.0	120.13531553451513	132	36.36363636363637	1.1351689999999999
ERR1756075_1	69.96934640546824	49.0	112.8004014445526	127	27.27272727272727	1.111486
ERR1756075_2	73.58028283418196	49.0	121.40607798928642	137	45.45454545454545	1.111486
ERR1756080_1	84.55324052395424	50.0	125.39955070056799	132	27.27272727272727	1.350547
ERR1756080_2	83.9719392996601	50.0	125.51000298397612	132	27.27272727272727	1.350547
ERR1756084_1	72.54484512294887	48.0	114.78529550348962	127	36.36363636363637	1.264892
ERR1756084_2	74.46826666446836	48.0	122.74091859225926	137	45.45454545454545	1.264892
ERR1756086_1	75.05574923587135	49.0	120.9146586972236	137	36.36363636363637	1.441506
ERR1756086_2	78.76842811223395	49.0	125.55241046516629	142	36.36363636363637	1.441506
ERR1756092_1	69.2361229771223	50.0	117.91005095292229	132	27.27272727272727	1.032718
ERR1756092_2	70.98610135379546	50.0	118.27222242664503	132	45.45454545454545	1.032718
ERR1756105_1	90.57139866932998	49.0	132.99528650052275	147	27.27272727272727	4.880026
ERR1756105_2	93.77682188485201	49.0	131.85423663726382	142	27.27272727272727	4.880026
ERR1756107_1	73.07723466919005	50.0	119.75430078676779	137	36.36363636363637	0.506884
ERR1756107_2	72.80208152339404	50.0	116.68004513853268	127	45.45454545454545	0.506884
ERR1756111_1	72.22404926995553	49.0	115.01734118614768	127	27.27272727272727	0.8728929999999999
ERR1756111_2	73.08865290346873	50.0	114.3445966458661	122	45.45454545454545	0.8728929999999999
ERR1756115_1	95.81752116017036	49.0	127.93480618901289	137	36.36363636363637	2.318625
ERR1756115_2	94.52292796863648	49.0	124.04438363254084	132	36.36363636363637	2.318625
ERR1756118_1	78.82210316283094	48.0	119.8970846369588	137	36.36363636363637	0.777639
ERR1756118_2	80.34616580435926	49.0	119.03857574015707	132	54.54545454545454	0.777639
ERR1756127_1	67.30303233745458	49.0	110.20945643999259	122	27.27272727272727	0.825723
ERR1756127_2	67.79065744672636	50.0	113.87449302005636	132	27.27272727272727	0.825723
