Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
ERR3518728_1	(32, 8685.0)	(37, 6400.0)	(42, 7758.0)	(47, 9094.0)	(52, 7619.0)	(57, 17072.0)	(62, 11949.0)	(67, 8845.0)	(72, 9070.0)	(77, 25868.0)	(82, 11471.0)	(87, 7846.0)	(92, 5647.0)	(97, 5069.0)	(102, 4699.0)	(107, 5474.0)	(112, 5255.0)	(117, 6176.0)	(122, 7025.0)	(127, 14474.0)	(132, 293150.0)	(137, 27731.0)	(142, 292350.0)	(147, 78305.0)	(151, 2993369.0)
ERR3518728_2	(32, 16115.0)	(37, 10888.0)	(42, 8945.0)	(47, 14034.0)	(52, 8488.0)	(57, 20714.0)	(62, 12851.0)	(67, 9139.0)	(72, 9573.0)	(77, 23924.0)	(82, 10595.0)	(87, 7327.0)	(92, 5175.0)	(97, 4740.0)	(102, 4310.0)	(107, 5376.0)	(112, 5155.0)	(117, 6507.0)	(122, 6591.0)	(127, 10952.0)	(132, 292191.0)	(137, 20855.0)	(142, 289391.0)	(147, 68150.0)	(151, 2998415.0)
ERR3518741_1	(32, 21053.0)	(37, 12734.0)	(42, 11262.0)	(47, 13273.0)	(52, 15704.0)	(57, 31777.0)	(62, 23153.0)	(67, 14357.0)	(72, 23683.0)	(77, 64900.0)	(82, 23386.0)	(87, 14658.0)	(92, 9722.0)	(97, 10118.0)	(102, 6790.0)	(107, 8339.0)	(112, 7313.0)	(117, 10451.0)	(122, 14524.0)	(127, 23266.0)	(132, 65080.0)	(137, 77941.0)	(142, 362942.0)	(147, 409544.0)	(151, 3140631.0)
ERR3518741_2	(32, 40018.0)	(37, 23923.0)	(42, 19486.0)	(47, 26261.0)	(52, 29918.0)	(57, 49920.0)	(62, 32861.0)	(67, 20576.0)	(72, 25336.0)	(77, 65269.0)	(82, 23261.0)	(87, 15204.0)	(92, 9465.0)	(97, 8291.0)	(102, 5613.0)	(107, 8614.0)	(112, 7922.0)	(117, 11031.0)	(122, 12447.0)	(127, 16645.0)	(132, 61338.0)	(137, 59331.0)	(142, 363154.0)	(147, 159688.0)	(151, 3321029.0)
ERR3518742_1	(32, 13782.0)	(37, 10194.0)	(42, 7946.0)	(47, 9130.0)	(52, 11420.0)	(57, 24735.0)	(62, 17439.0)	(67, 10886.0)	(72, 16276.0)	(77, 47225.0)	(82, 16788.0)	(87, 11060.0)	(92, 7560.0)	(97, 7243.0)	(102, 5128.0)	(107, 6001.0)	(112, 5292.0)	(117, 7855.0)	(122, 10234.0)	(127, 16374.0)	(132, 56759.0)	(137, 59423.0)	(142, 336270.0)	(147, 237942.0)	(151, 3074408.0)
ERR3518742_2	(32, 24208.0)	(37, 14654.0)	(42, 9254.0)	(47, 13720.0)	(52, 13786.0)	(57, 31601.0)	(62, 19259.0)	(67, 12153.0)	(72, 16146.0)	(77, 43495.0)	(82, 16062.0)	(87, 10728.0)	(92, 7460.0)	(97, 6657.0)	(102, 4335.0)	(107, 6157.0)	(112, 5470.0)	(117, 7988.0)	(122, 8528.0)	(127, 12382.0)	(132, 52857.0)	(137, 48732.0)	(142, 337795.0)	(147, 115203.0)	(151, 3188740.0)
ERR3518753_1	(32, 9095.0)	(37, 6806.0)	(42, 8212.0)	(47, 9702.0)	(52, 13881.0)	(57, 30693.0)	(62, 16778.0)	(67, 9641.0)	(72, 12676.0)	(77, 43326.0)	(82, 14539.0)	(87, 11902.0)	(92, 7005.0)	(97, 5497.0)	(102, 4664.0)	(107, 6244.0)	(112, 5557.0)	(117, 6127.0)	(122, 8372.0)	(127, 23842.0)	(132, 106227.0)	(137, 33871.0)	(142, 222430.0)	(147, 306444.0)	(151, 2430999.0)
ERR3518753_2	(32, 27753.0)	(37, 17758.0)	(42, 16195.0)	(47, 25598.0)	(52, 27291.0)	(57, 51292.0)	(62, 28637.0)	(67, 18780.0)	(72, 16150.0)	(77, 44413.0)	(82, 15429.0)	(87, 13820.0)	(92, 7801.0)	(97, 5477.0)	(102, 4583.0)	(107, 6429.0)	(112, 6240.0)	(117, 7838.0)	(122, 9007.0)	(127, 17814.0)	(132, 110043.0)	(137, 25359.0)	(142, 218092.0)	(147, 149095.0)	(151, 2483636.0)
ERR3518754_1	(32, 5715.0)	(37, 5713.0)	(42, 5562.0)	(47, 6589.0)	(52, 9871.0)	(57, 23258.0)	(62, 12735.0)	(67, 7409.0)	(72, 8758.0)	(77, 30980.0)	(82, 10429.0)	(87, 8844.0)	(92, 5359.0)	(97, 4068.0)	(102, 3676.0)	(107, 4749.0)	(112, 4317.0)	(117, 4822.0)	(122, 6361.0)	(127, 15959.0)	(132, 100183.0)	(137, 23955.0)	(142, 207385.0)	(147, 182733.0)	(151, 2367607.0)
ERR3518754_2	(32, 15659.0)	(37, 9499.0)	(42, 7999.0)	(47, 13388.0)	(52, 12289.0)	(57, 32648.0)	(62, 15906.0)	(67, 9777.0)	(72, 9646.0)	(77, 29427.0)	(82, 11158.0)	(87, 11163.0)	(92, 6360.0)	(97, 4602.0)	(102, 3695.0)	(107, 4938.0)	(112, 4888.0)	(117, 5881.0)	(122, 6393.0)	(127, 12767.0)	(132, 102260.0)	(137, 18309.0)	(142, 204808.0)	(147, 118199.0)	(151, 2395378.0)
