Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
ERR3518719_1	(17.0, 1.0)	(18.0, 3.0)	(19.0, 36.0)	(20.0, 99.0)	(21.0, 353.0)	(22.0, 1014.0)	(23.0, 2537.0)	(24.0, 5165.0)	(25.0, 9459.0)	(26.0, 14156.0)	(27.0, 19351.0)	(28.0, 24891.0)	(29.0, 31224.0)	(30.0, 38310.0)	(31.0, 47895.0)	(32.0, 60542.0)	(33.0, 80510.0)	(34.0, 125153.0)	(35.0, 413017.0)	(36.0, 1127809.0)	(37.0, 670912.0)	(38.0, 7820.0)	(39.0, 1444.0)	(40.0, 12.0)														
ERR3518719_2	(17.0, 1.0)	(18.0, 10.0)	(19.0, 70.0)	(20.0, 273.0)	(21.0, 881.0)	(22.0, 2251.0)	(23.0, 4551.0)	(24.0, 8012.0)	(25.0, 13328.0)	(26.0, 19247.0)	(27.0, 25054.0)	(28.0, 30603.0)	(29.0, 36679.0)	(30.0, 44950.0)	(31.0, 55900.0)	(32.0, 70930.0)	(33.0, 96647.0)	(34.0, 165892.0)	(35.0, 605498.0)	(36.0, 1074580.0)	(37.0, 419921.0)	(38.0, 5633.0)	(39.0, 797.0)	(40.0, 5.0)														
ERR3518728_1	(18.0, 5.0)	(19.0, 28.0)	(20.0, 169.0)	(21.0, 586.0)	(22.0, 1727.0)	(23.0, 4112.0)	(24.0, 8453.0)	(25.0, 14358.0)	(26.0, 21933.0)	(27.0, 29113.0)	(28.0, 36017.0)	(29.0, 44314.0)	(30.0, 53529.0)	(31.0, 64527.0)	(32.0, 81272.0)	(33.0, 110755.0)	(34.0, 184664.0)	(35.0, 661105.0)	(36.0, 1642137.0)	(37.0, 902585.0)	(38.0, 7266.0)	(39.0, 1721.0)	(40.0, 25.0)															
ERR3518728_2	(18.0, 7.0)	(19.0, 84.0)	(20.0, 371.0)	(21.0, 1212.0)	(22.0, 3376.0)	(23.0, 7129.0)	(24.0, 12994.0)	(25.0, 20305.0)	(26.0, 29180.0)	(27.0, 36939.0)	(28.0, 44160.0)	(29.0, 51304.0)	(30.0, 61764.0)	(31.0, 75333.0)	(32.0, 96094.0)	(33.0, 137242.0)	(34.0, 249846.0)	(35.0, 910321.0)	(36.0, 1523700.0)	(37.0, 603022.0)	(38.0, 5046.0)	(39.0, 962.0)	(40.0, 10.0)															
ERR3518741_1	(17.0, 1.0)	(18.0, 15.0)	(19.0, 102.0)	(20.0, 429.0)	(21.0, 1303.0)	(22.0, 3217.0)	(23.0, 7494.0)	(24.0, 15055.0)	(25.0, 25686.0)	(26.0, 38679.0)	(27.0, 52153.0)	(28.0, 65577.0)	(29.0, 81554.0)	(30.0, 101478.0)	(31.0, 126282.0)	(32.0, 159348.0)	(33.0, 212278.0)	(34.0, 339611.0)	(35.0, 909859.0)	(36.0, 1467486.0)	(37.0, 794290.0)	(38.0, 12235.0)	(39.0, 2454.0)	(40.0, 15.0)														
ERR3518741_2	(17.0, 2.0)	(18.0, 51.0)	(19.0, 442.0)	(20.0, 1817.0)	(21.0, 5348.0)	(22.0, 12223.0)	(23.0, 23717.0)	(24.0, 41516.0)	(25.0, 66326.0)	(26.0, 107867.0)	(27.0, 192898.0)	(28.0, 137640.0)	(29.0, 190725.0)	(30.0, 157481.0)	(31.0, 184108.0)	(32.0, 236213.0)	(33.0, 352650.0)	(34.0, 527563.0)	(35.0, 960319.0)	(36.0, 933974.0)	(37.0, 279287.0)	(38.0, 3992.0)	(39.0, 442.0)															
ERR3518742_1	(17.0, 2.0)	(18.0, 10.0)	(19.0, 81.0)	(20.0, 277.0)	(21.0, 838.0)	(22.0, 2264.0)	(23.0, 5385.0)	(24.0, 10863.0)	(25.0, 18686.0)	(26.0, 28274.0)	(27.0, 37858.0)	(28.0, 48306.0)	(29.0, 60619.0)	(30.0, 75231.0)	(31.0, 94725.0)	(32.0, 121831.0)	(33.0, 163297.0)	(34.0, 258592.0)	(35.0, 719702.0)	(36.0, 1457805.0)	(37.0, 910281.0)	(38.0, 9989.0)	(39.0, 2434.0)	(40.0, 20.0)														
ERR3518742_2	(18.0, 21.0)	(19.0, 131.0)	(20.0, 652.0)	(21.0, 2024.0)	(22.0, 4598.0)	(23.0, 9416.0)	(24.0, 16514.0)	(25.0, 25493.0)	(26.0, 36276.0)	(27.0, 46703.0)	(28.0, 57162.0)	(29.0, 67926.0)	(30.0, 81922.0)	(31.0, 101805.0)	(32.0, 129683.0)	(33.0, 173497.0)	(34.0, 274119.0)	(35.0, 750167.0)	(36.0, 1386087.0)	(37.0, 850507.0)	(38.0, 10069.0)	(39.0, 2582.0)	(40.0, 16.0)															
ERR3518753_1	(17.0, 1.0)	(18.0, 10.0)	(19.0, 73.0)	(20.0, 251.0)	(21.0, 862.0)	(22.0, 2533.0)	(23.0, 5760.0)	(24.0, 11951.0)	(25.0, 20469.0)	(26.0, 31035.0)	(27.0, 40977.0)	(28.0, 51351.0)	(29.0, 63124.0)	(30.0, 76440.0)	(31.0, 94356.0)	(32.0, 121868.0)	(33.0, 163718.0)	(34.0, 268973.0)	(35.0, 747202.0)	(36.0, 1165960.0)	(37.0, 479205.0)	(38.0, 6103.0)	(39.0, 2285.0)	(40.0, 23.0)														
ERR3518753_2	(17.0, 2.0)	(18.0, 59.0)	(19.0, 411.0)	(20.0, 1911.0)	(21.0, 5712.0)	(22.0, 13613.0)	(23.0, 25020.0)	(24.0, 41736.0)	(25.0, 62043.0)	(26.0, 100451.0)	(27.0, 154110.0)	(28.0, 115233.0)	(29.0, 153622.0)	(30.0, 122071.0)	(31.0, 150323.0)	(32.0, 196078.0)	(33.0, 287688.0)	(34.0, 447522.0)	(35.0, 714010.0)	(36.0, 657315.0)	(37.0, 102712.0)	(38.0, 2343.0)	(39.0, 545.0)															
