Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
ERR3518770_1	(1.0, 2.505769417918287)	(2.0, 0.5679340388388138)	(3.0, 0.3351332800227699)	(4.0, 0.24788686901354554)	(5.0, 0.19598162359827265)	(6.0, 0.17666658075889236)	(7.0, 0.1426922383052592)	(8.0, 0.14546051806074042)	(9.0, 0.12032579618995069)	('>10', 2.2439424036134805)	('>50', 1.2609199708972012)	('>100', 3.3396464054676436)	('>500', 1.9675862939327704)	('>1k', 5.392671879126403)	('>5k', 5.823611246971144)	('>10k+', 75.53377143728483)
ERR3518770_2	(1.0, 3.174555807778899)	(2.0, 0.6414071796117078)	(3.0, 0.37074327756283865)	(4.0, 0.26556898278005897)	(5.0, 0.2216025489018962)	(6.0, 0.18996771694935083)	(7.0, 0.15278176900387874)	(8.0, 0.12535821448917311)	(9.0, 0.13028838474839158)	('>10', 2.1914449790434456)	('>50', 1.234866339321704)	('>100', 2.9509424178298036)	('>500', 1.3205319728704177)	('>1k', 3.189223512905917)	('>5k', 4.64908774972635)	('>10k+', 79.19162914647616)
ERR3518780_1	(1.0, 2.007992711004747)	(2.0, 0.5291348202875328)	(3.0, 0.31284343168915624)	(4.0, 0.22946050945636234)	(5.0, 0.1816651222055192)	(6.0, 0.15738090704349017)	(7.0, 0.13546913441650016)	(8.0, 0.11153145580453298)	(9.0, 0.10891910335022031)	('>10', 1.8559697921583673)	('>50', 0.8920117365169903)	('>100', 3.0374195179501235)	('>500', 1.482483361164746)	('>1k', 4.914901232870025)	('>5k', 3.0312085167067067)	('>10k+', 81.01160864737497)
ERR3518780_2	(1.0, 2.5409448130502996)	(2.0, 0.6020225019003936)	(3.0, 0.35931581608611335)	(4.0, 0.2619904248371923)	(5.0, 0.21104463834312237)	(6.0, 0.16927369674025064)	(7.0, 0.14949447311961)	(8.0, 0.12754628013678337)	(9.0, 0.11445572337525313)	('>10', 1.9878450349077272)	('>50', 0.9740867247235613)	('>100', 3.397785979463256)	('>500', 1.9355361298850748)	('>1k', 5.743848368032736)	('>5k', 4.357395774815105)	('>10k+', 77.06741362058352)
ERR3518791_1	(1.0, 2.272260169133174)	(2.0, 0.5807456233835652)	(3.0, 0.3396693658304533)	(4.0, 0.2500971987167547)	(5.0, 0.2018781712667124)	(6.0, 0.17632505901424264)	(7.0, 0.14502035038691688)	(8.0, 0.1417010211357562)	(9.0, 0.11846571637763138)	('>10', 2.0423317814059625)	('>50', 1.0077598066153193)	('>100', 2.9018663680125547)	('>500', 1.520968169715034)	('>1k', 5.0742242883605355)	('>5k', 3.0546699731952964)	('>10k+', 80.17201693745008)
ERR3518791_2	(1.0, 2.8274069881168007)	(2.0, 0.6394562640826047)	(3.0, 0.3815943744049264)	(4.0, 0.27668777508694486)	(5.0, 0.22168970750726116)	(6.0, 0.18938995957285815)	(7.0, 0.16482808192563875)	(8.0, 0.14350458871056432)	(9.0, 0.11380577059155524)	('>10', 2.123344467899756)	('>50', 1.0367253681992907)	('>100', 3.0996194607194707)	('>500', 2.2585210053671014)	('>1k', 6.460809097537128)	('>5k', 3.756791998743255)	('>10k+', 76.30582509153486)
ERR3518798_1	(1.0, 2.3117260283734598)	(2.0, 0.5828088419990068)	(3.0, 0.3575816535146449)	(4.0, 0.26331528125850967)	(5.0, 0.21328341401547762)	(6.0, 0.1851646656386902)	(7.0, 0.15286126689756824)	(8.0, 0.1233299636701328)	(9.0, 0.1267809397177833)	('>10', 2.135248999450377)	('>50', 1.1117517344328507)	('>100', 2.9413064867770062)	('>500', 1.2737778885389333)	('>1k', 8.069683187096977)	('>5k', 4.561285160948682)	('>10k+', 75.5900944876699)
ERR3518798_2	(1.0, 2.8679992106157175)	(2.0, 0.6748533535261949)	(3.0, 0.4029288033685839)	(4.0, 0.29038415552162095)	(5.0, 0.232842674921764)	(6.0, 0.19374639114357423)	(7.0, 0.16673029957563304)	(8.0, 0.1522836297022618)	(9.0, 0.1170914731715896)	('>10', 2.311425276557527)	('>50', 1.2822930460515771)	('>100', 3.1997649096122265)	('>500', 1.8639322116974082)	('>1k', 9.396703853878202)	('>5k', 5.831240212838765)	('>10k+', 71.01578049781736)
ERR3518807_1	(1.0, 1.9126835711850487)	(2.0, 0.4582055566376481)	(3.0, 0.2832559321723014)	(4.0, 0.19192343559253888)	(5.0, 0.15605424981432164)	(6.0, 0.1252510042353007)	(7.0, 0.11290641432461555)	(8.0, 0.10760755733465165)	(9.0, 0.09747567693625912)	('>10', 1.8054545036353942)	('>50', 1.0340923218106486)	('>100', 2.318453735301131)	('>500', 1.3804687042809813)	('>1k', 5.186794899005824)	('>5k', 4.731064083270082)	('>10k+', 80.09830835446326)
ERR3518807_2	(1.0, 2.1479295298603693)	(2.0, 0.49605453513739034)	(3.0, 0.30290828639332135)	(4.0, 0.21148844601702096)	(5.0, 0.16653550539886564)	(6.0, 0.14341851391517696)	(7.0, 0.1228927217287783)	(8.0, 0.11226589315000451)	(9.0, 0.09799973971548633)	('>10', 1.8028050751404123)	('>50', 0.948728317994307)	('>100', 2.2543433886423365)	('>500', 1.1296173206242286)	('>1k', 4.694321459526487)	('>5k', 3.345325636597982)	('>10k+', 82.02336563015783)
