Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
ERR1755921_1	(13.0, 1.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 28.0)	(17.0, 266.0)	(18.0, 1333.0)	(19.0, 4686.0)	(20.0, 10781.0)	(21.0, 17691.0)	(22.0, 25204.0)	(23.0, 32723.0)	(24.0, 40736.0)	(25.0, 47159.0)	(26.0, 53545.0)	(27.0, 57798.0)	(28.0, 61936.0)	(29.0, 67676.0)	(30.0, 75655.0)	(31.0, 88126.0)	(32.0, 103899.0)	(33.0, 118581.0)	(34.0, 132132.0)	(35.0, 137764.0)	(36.0, 120582.0)	(37.0, 75273.0)	(38.0, 19452.0)	(39.0, 1044.0)	(40.0, 8.0)										
ERR1755921_2	(11.0, 1.0)	(12.0, 6.0)	(13.0, 6.0)	(14.0, 9.0)	(15.0, 22.0)	(16.0, 26.0)	(17.0, 68.0)	(18.0, 264.0)	(19.0, 944.0)	(20.0, 2518.0)	(21.0, 4894.0)	(22.0, 8103.0)	(23.0, 12267.0)	(24.0, 17266.0)	(25.0, 23552.0)	(26.0, 31344.0)	(27.0, 39478.0)	(28.0, 49690.0)	(29.0, 61793.0)	(30.0, 77207.0)	(31.0, 97250.0)	(32.0, 122787.0)	(33.0, 152504.0)	(34.0, 179193.0)	(35.0, 176053.0)	(36.0, 134945.0)	(37.0, 77836.0)	(38.0, 22058.0)	(39.0, 1992.0)	(40.0, 3.0)								
ERR1755922_1	(12.0, 1.0)	(13.0, 1.0)	(14.0, 1.0)	(15.0, 1.0)	(16.0, 14.0)	(17.0, 108.0)	(18.0, 481.0)	(19.0, 1719.0)	(20.0, 3837.0)	(21.0, 6693.0)	(22.0, 9766.0)	(23.0, 12823.0)	(24.0, 15832.0)	(25.0, 19415.0)	(26.0, 22457.0)	(27.0, 25783.0)	(28.0, 29690.0)	(29.0, 34122.0)	(30.0, 39444.0)	(31.0, 45255.0)	(32.0, 51511.0)	(33.0, 57349.0)	(34.0, 61276.0)	(35.0, 60881.0)	(36.0, 50392.0)	(37.0, 27468.0)	(38.0, 6593.0)	(39.0, 891.0)	(40.0, 4.0)									
ERR1755922_2	(12.0, 1.0)	(13.0, 5.0)	(14.0, 4.0)	(15.0, 10.0)	(16.0, 7.0)	(17.0, 30.0)	(18.0, 136.0)	(19.0, 478.0)	(20.0, 1264.0)	(21.0, 2524.0)	(22.0, 4101.0)	(23.0, 6006.0)	(24.0, 8687.0)	(25.0, 11790.0)	(26.0, 15470.0)	(27.0, 19690.0)	(28.0, 24488.0)	(29.0, 31318.0)	(30.0, 39841.0)	(31.0, 50005.0)	(32.0, 61734.0)	(33.0, 72213.0)	(34.0, 77671.0)	(35.0, 72307.0)	(36.0, 53547.0)	(37.0, 25417.0)	(38.0, 4461.0)	(39.0, 597.0)	(40.0, 6.0)									
ERR1755935_1	(15.0, 2.0)	(16.0, 12.0)	(17.0, 159.0)	(18.0, 771.0)	(19.0, 2683.0)	(20.0, 5833.0)	(21.0, 9404.0)	(22.0, 13769.0)	(23.0, 17675.0)	(24.0, 22652.0)	(25.0, 27838.0)	(26.0, 34281.0)	(27.0, 40188.0)	(28.0, 46250.0)	(29.0, 49807.0)	(30.0, 50993.0)	(31.0, 52260.0)	(32.0, 59052.0)	(33.0, 68231.0)	(34.0, 76317.0)	(35.0, 87593.0)	(36.0, 96664.0)	(37.0, 90490.0)	(38.0, 47428.0)	(39.0, 3918.0)	(40.0, 8.0)												
ERR1755935_2	(12.0, 1.0)	(13.0, 1.0)	(14.0, 5.0)	(15.0, 7.0)	(16.0, 4.0)	(17.0, 20.0)	(18.0, 183.0)	(19.0, 850.0)	(20.0, 2482.0)	(21.0, 4975.0)	(22.0, 8158.0)	(23.0, 11872.0)	(24.0, 16172.0)	(25.0, 20642.0)	(26.0, 25590.0)	(27.0, 30521.0)	(28.0, 36685.0)	(29.0, 42268.0)	(30.0, 49070.0)	(31.0, 57958.0)	(32.0, 69237.0)	(33.0, 83002.0)	(34.0, 97677.0)	(35.0, 112031.0)	(36.0, 114836.0)	(37.0, 88998.0)	(38.0, 28956.0)	(39.0, 2065.0)	(40.0, 12.0)									
ERR1755937_1	(11.0, 1.0)	(12.0, 0.0)	(13.0, 2.0)	(14.0, 0.0)	(15.0, 11.0)	(16.0, 52.0)	(17.0, 356.0)	(18.0, 1474.0)	(19.0, 4370.0)	(20.0, 8752.0)	(21.0, 13667.0)	(22.0, 18358.0)	(23.0, 23828.0)	(24.0, 28649.0)	(25.0, 34636.0)	(26.0, 40113.0)	(27.0, 45699.0)	(28.0, 51159.0)	(29.0, 56502.0)	(30.0, 63068.0)	(31.0, 71841.0)	(32.0, 83625.0)	(33.0, 96796.0)	(34.0, 109255.0)	(35.0, 115601.0)	(36.0, 99203.0)	(37.0, 53007.0)	(38.0, 10459.0)	(39.0, 1165.0)	(40.0, 10.0)								
ERR1755937_2	(15.0, 1.0)	(16.0, 2.0)	(17.0, 27.0)	(18.0, 152.0)	(19.0, 736.0)	(20.0, 2148.0)	(21.0, 4130.0)	(22.0, 6663.0)	(23.0, 9538.0)	(24.0, 13630.0)	(25.0, 18496.0)	(26.0, 24803.0)	(27.0, 32200.0)	(28.0, 41736.0)	(29.0, 54649.0)	(30.0, 70493.0)	(31.0, 91123.0)	(32.0, 115165.0)	(33.0, 137847.0)	(34.0, 148230.0)	(35.0, 130721.0)	(36.0, 85602.0)	(37.0, 35501.0)	(38.0, 6924.0)	(39.0, 1135.0)	(40.0, 7.0)												
ERR1755940_1	(10.0, 1.0)	(11.0, 1.0)	(12.0, 0.0)	(13.0, 1.0)	(14.0, 0.0)	(15.0, 2.0)	(16.0, 21.0)	(17.0, 146.0)	(18.0, 627.0)	(19.0, 2331.0)	(20.0, 5527.0)	(21.0, 9699.0)	(22.0, 14674.0)	(23.0, 21024.0)	(24.0, 27993.0)	(25.0, 35457.0)	(26.0, 42184.0)	(27.0, 48485.0)	(28.0, 53694.0)	(29.0, 58232.0)	(30.0, 61084.0)	(31.0, 64653.0)	(32.0, 73269.0)	(33.0, 84271.0)	(34.0, 93479.0)	(35.0, 103751.0)	(36.0, 104189.0)	(37.0, 74572.0)	(38.0, 20981.0)	(39.0, 2150.0)	(40.0, 12.0)							
ERR1755940_2	(15.0, 1.0)	(16.0, 5.0)	(17.0, 36.0)	(18.0, 212.0)	(19.0, 907.0)	(20.0, 2560.0)	(21.0, 4871.0)	(22.0, 7690.0)	(23.0, 10883.0)	(24.0, 15069.0)	(25.0, 19945.0)	(26.0, 25792.0)	(27.0, 32734.0)	(28.0, 40751.0)	(29.0, 49496.0)	(30.0, 59513.0)	(31.0, 73638.0)	(32.0, 91911.0)	(33.0, 112361.0)	(34.0, 131941.0)	(35.0, 137348.0)	(36.0, 113580.0)	(37.0, 58240.0)	(38.0, 11244.0)	(39.0, 1774.0)	(40.0, 8.0)												
